Date-Time,Focal,Weather,Temperature (F),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),1,2,3,4,5,6,7,8,AST 1,AST 2,AST 3,AST 4,AST 5,AST 6,AST 7,AST 8,ASH 1,ASH 2,ASH 3,ASH 4,ASH 5,ASH 6,ASH 7,ASH 8,SEL 1,SEL 2,SEL 3,SEL 4,SEL 5,SEL 6,SEL 7,SEL 8,Notes,Added Time,Referrer Name,Task Owner
07/27/2026 11:48 AM,Asteria,Sunny,89,0,1011,Affiliative - Contact sit,Ash,46,1011,Affiliative - Contact sit,Selene,46,137,Affiliative - Receive grooming,Selene,842,904,Stress-Related - Vigilance,,906,908,Affiliative - Greet,Selene,910,912,Stress-Related - Yawn,,914,1007,Stress-Related - Vigilance,,1011,1014,Stress-Related - Yawn,,1051,1248,Stress-Related - Vigilance,,1329,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Other,Other,Other,,,,,,,,,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,2-5 m,2-5 m,Less than 2 m,Body contact,Body contact,Body contact,Body contact,Body contact,2-5 m,2-5 m,,07/27/2026 12:03:27,,methall@wisc.edu
07/24/2026 03:10 PM,Selene,Sunny,95,0,539,Affiliative - Contact sit,Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Body contact,Body contact,Body contact,Less than 2 m,2-5 m,2-5 m,2-5 m,Less than 2 m,,,,,,,,,,07/24/2026 15:24:06,,methall@wisc.edu
07/24/2026 12:35 PM,Selene,Sunny,93,143,214,Affiliative - Mutual grooming,Ash,143,216,Affiliative - Contact sit,Ash,237,239,Stress-Related - Yawn,,312,316,Stress-Related - Self-groom,,320,323,Stress-Related - Head throw-back,,407,415,Stress-Related - Vigilance,,420,434,Stress-Related - Vigilance,,524,635,Stress-Related - Vigilance,,818,836,Stress-Related - Vigilance,,846,1010,Stress-Related - Vigilance,,900,902,Stress-Related - Head throw-back,,904,906,Stress-Related - Head throw-back,,928,930,Stress-Related - Head throw-back,,939,941,Stress-Related - Head throw-back,,1007,1009,Stress-Related - Head throw-back,,1017,1022,Stress-Related - Vigilance,,1204,1411,Stress-Related - Vigilance,,1421,1429,Stress-Related - Self-groom,,1431,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Social,Locomotion,Other,Other,Other,Other,Other,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Over 5 m,Less than 2 m,Body contact,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,2-5 m,,,,,,,,,,07/24/2026 12:49:57,,methall@wisc.edu
07/24/2026 12:22 PM,Ash,Sunny,93,0,1000,Affiliative - Contact sit,Asteria,856,909,Stress-Related - Self-groom,,914,916,Stress-Related - Yawn,,918,949,Stress-Related - Vigilance,,949,951,Stress-Related - Yawn,,1039,1113,Stress-Related - Vigilance,,1121,1127,Stress-Related - Vigilance,,1145,1152,Stress-Related - Vigilance,,1152,1329,Affiliative - Contact sit,Selene,1155,1236,Affiliative - Mutual grooming,Selene,1236,1250,Affiliative - Give grooming,Selene,1250,1322,Affiliative - Mutual grooming,Selene,1339,1448,Affiliative - Contact sit,Selene,1342,1348,Stress-Related - Self-scratch,,1422,1445,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Other,Social,Other,Body contact,Body contact,Body contact,Body contact,Body contact,Less than 2 m,2-5 m,2-5 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,Body contact,Body contact,,07/24/2026 12:35:04,,methall@wisc.edu
07/24/2026 12:07 PM,Asteria,Sunny,93,0,1500,Affiliative - Contact sit,"Ash, Selene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,,,,,,,,,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,Body contact,,07/24/2026 12:21:51,,methall@wisc.edu
07/22/2026 02:05 PM,Ash,Cloudy,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/22/2026 14:15:33,,methall@wisc.edu
07/22/2026 01:50 PM,Selene,Cloudy,90,0,145,Affiliative - Contact sit,Asteria,0,142,Affiliative - Give grooming,Asteria,639,641,Stress-Related - Vigilance,,945,1008,Affiliative - Mutual grooming,Asteria,1008,1023,Affiliative - Give grooming,Asteria,1023,1109,Affiliative - Mutual grooming,Asteria,1109,1140,Affiliative - Give grooming,Asteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Rest,Rest,Rest,Rest,Social,Rest,Rest,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,,07/22/2026 14:05:23,,methall@wisc.edu
07/22/2026 12:06 PM,Asteria,Sunny,90,0,100,Stress-Related - Vigilance,,113,123,Stress-Related - Vigilance,,142,159,Stress-Related - Vigilance,,204,216,Stress-Related - Vigilance,,225,237,Stress-Related - Vigilance,,242,244,Agonistic - Displace,Selene,301,349,Stress-Related - Vigilance,,359,410,Stress-Related - Vigilance,,417,420,Stress-Related - Self-scratch,,423,449,Stress-Related - Vigilance,,449,452,Stress-Related - Self-scratch,,452,459,Stress-Related - Self-groom,,459,550,Stress-Related - Vigilance,,545,550,Stress-Related - Self-groom,,550,632,Stress-Related - Vigilance,,729,751,Stress-Related - Vigilance,,818,836,Stress-Related - Vigilance,,855,911,Stress-Related - Vigilance,,915,919,Stress-Related - Self-scratch,,919,928,Stress-Related - Self-groom,,928,1129,Stress-Related - Vigilance,,,,,,1156,1201,Stress-Related - Vigilance,,1223,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Other,Locomotion,Other,Other,Other,,,,,,,,,2-5 m,Less than 2 m,2-5 m,2-5 m,Over 5 m,Less than 2 m,2-5 m,2-5 m,Over 5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Less than 2 m,2-5 m,2-5 m,,07/22/2026 12:21:44,,methall@wisc.edu
07/20/2026 01:54 PM,Ash,Sunny,92,1430,1500,Affiliative - Contact sit,Selene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/20/2026 14:10:13,,methall@wisc.edu
07/20/2026 12:54 PM,Asteria,Sunny,92,0,236,Stress-Related - Vigilance,,250,837,Stress-Related - Vigilance,,848,1056,Stress-Related - Vigilance,,1056,1101,Stress-Related - Self-groom,,1101,1237,Stress-Related - Vigilance,,1246,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Other,Other,Other,Other,Other,,,,,,,,,Over 5 m,2-5 m,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,Over 5 m,,07/20/2026 13:05:39,,methall@wisc.edu
07/20/2026 12:40 PM,Selene,Sunny,92,46,116,Stress-Related - Vigilance,,144,146,Agonistic - Displace,Ash,206,209,Stress-Related - Self-scratch,,209,225,Stress-Related - Self-groom,,239,308,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Other,Rest,Rest,Rest,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Less than 2 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,,07/20/2026 12:54:25,,methall@wisc.edu
07/17/2026 12:11 PM,Asteria,Sunny,93,251,959,Affiliative - Contact sit,Selene,714,717,Stress-Related - Self-scratch,,718,740,Stress-Related - Self-groom,,813,830,Stress-Related - Vigilance,,831,833,Stress-Related - Yawn,,836,1006,Stress-Related - Vigilance,,1010,1012,Stress-Related - Yawn,,1014,1155,Stress-Related - Vigilance,,1218,1446,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Other,Other,Other,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Body contact,Body contact,Body contact,Less than 2 m,2-5 m,2-5 m,,07/17/2026 12:24:34,,methall@wisc.edu
07/17/2026 12:00 PM,Ash,Sunny,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/17/2026 12:11:29,,methall@wisc.edu
07/17/2026 11:45 AM,Selene,Sunny,93,0,210,Affiliative - Contact sit,Asteria,631,637,Stress-Related - Self-groom,,637,641,Stress-Related - Vigilance,,641,648,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Body contact,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,,07/17/2026 12:00:46,,methall@wisc.edu
07/15/2026 02:47 PM,Ash,Sunny,90,0,956,Affiliative - Contact sit,Asteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Body contact,Body contact,Body contact,Body contact,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/15/2026 14:57:09,,methall@wisc.edu
07/15/2026 02:32 PM,Asteria,Sunny,90,0,320,Stress-Related - Vigilance,,322,337,Stress-Related - Self-groom,,337,430,Stress-Related - Vigilance,,431,438,Stress-Related - Self-groom,,438,457,Stress-Related - Vigilance,,512,519,Stress-Related - Vigilance,,615,628,Stress-Related - Vigilance,,652,708,Stress-Related - Vigilance,,719,723,Stress-Related - Vigilance,,736,832,Affiliative - Contact sit,Ash,745,905,Stress-Related - Vigilance,,917,923,Stress-Related - Self-groom,,950,1031,Stress-Related - Vigilance,,1039,1500,Affiliative - Contact sit,Ash,1056,1101,Stress-Related - Self-groom,,1310,1313,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Other,Other,Other,Rest,Rest,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,2-5 m,Body contact,Less than 2 m,Body contact,Body contact,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/15/2026 14:47:12,,methall@wisc.edu
