Date-Time,Focal,Weather,Temperature (F),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),1,2,3,4,5,6,7,8,DEL 1,DEL 2,DEL 3,DEL 4,DEL 5,DEL 6,DEL 7,DEL 8,CBR 1,CBR 2,CBR 3,CBR 4,CBR 5,CBR 6,CBR 7,CBR 8,PHA 1,PHA 2,PHA 3,PHA 4,PHA 5,PHA 6,PHA 7,PHA 8,LAU 1,LAU 2,LAU 3,LAU 4,LAU 5,LAU 6,LAU 7,LAU 8,JJO 1,JJO 2,JJO 3,JJO 4,JJO 5,JJO 6,JJO 7,JJO 8,Notes,Added Time,Referrer Name,Task Owner
07/23/2026 03:47 PM,Pearl Hart,Sunny,95,0,137,Affiliative - Contact sit,Charlie Brown,5,127,Affiliative - Mutual grooming,Charlie Brown,153,220,Stress-Related - Vigilance,,249,303,Stress-Related - Vigilance,,305,329,Stress-Related - Self-groom,,348,434,Stress-Related - Self-groom,,548,635,Stress-Related - Self-groom,,913,931,Stress-Related - Self-groom,,958,1011,Stress-Related - Self-groom,,1321,1335,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Other,Other,Other,Rest,Other,Rest,Other,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Body contact,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/23/2026 16:24:13,,methall@wisc.edu
07/23/2026 03:04 PM,Delilah,Sunny,95,719,800,Affiliative - Contact sit,Pearl Hart,1017,1020,Stress-Related - Yawn,,1104,1110,Affiliative - Contact sit,Janis Joplin,1159,1217,Stress-Related - Self-groom,,1258,1310,Stress-Related - Self-groom,,1319,1323,Stress-Related - Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Other,Other,Locomotion,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,Less than 2 m,Less than 2 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,Less than 2 m,2-5 m,Over 5 m,,07/23/2026 16:24:11,,methall@wisc.edu
07/23/2026 02:49 PM,Janis Joplin,Sunny,95,112,125,Stress-Related - Vigilance,,649,714,Stress-Related - Self-groom,,732,754,Stress-Related - Vigilance,,839,1030,Stress-Related - Vigilance,,1111,1131,Affiliative - Give grooming,Pearl Hart,1131,1145,Affiliative - Receive grooming,Pearl Hart,1131,1157,Stress-Related - Self-groom,,1315,1320,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Other,Other,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,,07/23/2026 16:24:09,,methall@wisc.edu
07/23/2026 02:36 PM,Laurel,Sunny,95,332,339,Stress-Related - Self-groom,,353,410,Stress-Related - Self-groom,,410,435,Stress-Related - Vigilance,,509,520,Stress-Related - Self-groom,,606,620,Stress-Related - Self-groom,,642,707,Stress-Related - Vigilance,,707,718,Stress-Related - Self-groom,,855,912,Stress-Related - Self-groom,,921,925,Stress-Related - Self-groom,,935,940,Stress-Related - Self-groom,,940,1016,Stress-Related - Vigilance,,1016,1031,Stress-Related - Self-groom,,1341,1350,Stress-Related - Self-groom,,1400,1404,Stress-Related - Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Other,Other,Rest,Other,Rest,Other,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/23/2026 16:24:08,,methall@wisc.edu
07/23/2026 02:21 PM,Pearl Hart,Sunny,95,0,15,Affiliative - Contact sit,Delilah,1223,1226,Stress-Related - Yawn,,1233,1244,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/23/2026 16:24:05,,methall@wisc.edu
07/23/2026 02:10 PM,Delilah,Sunny,95,0,139,Affiliative - Give grooming,Pearl Hart,141,145,Stress-Related - Yawn,,147,352,Affiliative - Give grooming,Pearl Hart,354,410,Stress-Related - Self-groom,,904,907,Stress-Related - Vigilance,,1430,1500,Affiliative - Contact sit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Social,Other,Rest,Rest,Rest,Rest,Rest,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Body contact,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,07/23/2026 16:24:02,,methall@wisc.edu
07/23/2026 01:55 PM,Janis Joplin,Sunny,95,1109,1139,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,,07/23/2026 16:23:59,,methall@wisc.edu
07/23/2026 11:11 AM,Delilah,Sunny,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,07/23/2026 16:23:58,,methall@wisc.edu
07/23/2026 10:55 AM,Pearl Hart,Sunny,92,217,222,Stress-Related - Self-groom,,232,236,Agonistic - Displace,Charlie Brown,240,258,Stress-Related - Self-groom,,305,340,Stress-Related - Self-groom,,457,459,Stress-Related - Vigilance,,543,548,Stress-Related - Vigilance,,636,639,Stress-Related - Self-groom,,639,642,Stress-Related - Vigilance,,652,800,Affiliative - Contact sit,Janis Joplin,1148,1155,Affiliative - Greet,Laurel,1411,1421,Stress-Related - Vigilance,,1424,1444,Affiliative - Give grooming,Janis Joplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Other,Rest,2-5 m,2-5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,2-5 m,2-5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Janis lightly pushed laurel away when she went to see pearl,07/23/2026 16:23:56,,methall@wisc.edu
07/23/2026 10:39 AM,Laurel,Sunny,92,33,36,Stress-Related - Self-scratch,,36,39,Stress-Related - Head throw-back,,39,50,Stress-Related - Self-groom,,534,541,Stress-Related - Self-groom,,615,717,Affiliative - Contact sit,Janis Joplin,617,705,Affiliative - Mutual grooming,Janis Joplin,728,949,Affiliative - Contact sit,Janis Joplin,849,945,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Other,Rest,Rest,Rest,Rest,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,2-5 m,2-5 m,2-5 m,Less than 2 m,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,,07/23/2026 16:23:55,,methall@wisc.edu
07/23/2026 10:23 AM,Janis Joplin,Sunny,92,0,252,Affiliative - Contact sit,Pearl Hart,150,203,Stress-Related - Vigilance,,210,221,Stress-Related - Vigilance,,419,425,Stress-Related - Self-groom,,431,443,Stress-Related - Self-groom,,1112,1118,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Other,Rest,Rest,Rest,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,Body contact,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,,07/23/2026 16:23:53,,methall@wisc.edu
