Date-Time,Focal,Weather,Temperature (F),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),1,2,3,4,5,6,7,8,MAR 1,MAR 2,MAR 3,MAR 4,MAR 5,MAR 6,MAR 7,MAR 8,MAY 1,MAY 2,MAY 3,MAY 4,MAY 5,MAY 6,MAY 7,MAY 8,DDA 1,DDA 2,DDA 3,DDA 4,DDA 5,DDA 6,DDA 7,DDA 8,Notes,Added Time,Referrer Name,Task Owner
07/27/2026 09:57 AM,Delta Dawn,Cloudy,85,52,106,Stress-Related - Vigilance,,228,253,Stress-Related - Self-groom,,338,347,Stress-Related - Self-scratch,,407,411,Stress-Related - Vigilance,,425,508,Affiliative - Receive grooming,Marla,508,514,Affiliative - Mutual grooming,Marla,514,530,Affiliative - Receive grooming,Marla,530,548,Affiliative - Mutual grooming,Marla,548,608,Affiliative - Receive grooming,Marla,608,635,Affiliative - Contact sit,Marla,610,834,Affiliative - Mutual grooming,Marla,851,857,Stress-Related - Self-scratch,,857,947,Stress-Related - Self-groom,,1039,1305,Affiliative - Receive grooming,May Lillie,1315,1420,Affiliative - Receive grooming,May Lillie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forage,Forage,Locomotion,Social,Social,Other,Social,Social,Over 5 m,Over 5 m,2-5 m,Body contact,Body contact,2-5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,2-5 m,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Body contact,,,,,,,,,,07/27/2026 14:21:00,,methall@wisc.edu
07/21/2026 10:07 AM,Delta Dawn,Sunny,89,27,36,Stress-Related - Vigilance,,36,41,Stress-Related - Self-groom,,41,114,Stress-Related - Vigilance,,118,136,Stress-Related - Self-groom,,136,259,Stress-Related - Vigilance,,331,337,Stress-Related - Vigilance,,338,343,Stress-Related - Self-scratch,,343,404,Stress-Related - Vigilance,,404,417,Stress-Related - Self-groom,,417,430,Stress-Related - Vigilance,,430,447,Stress-Related - Self-groom,,447,559,Stress-Related - Vigilance,,559,606,Stress-Related - Self-scratch,,651,710,Stress-Related - Self-groom,,710,734,Stress-Related - Vigilance,,836,849,Stress-Related - Vigilance,,849,906,Stress-Related - Self-groom,,906,917,Stress-Related - Vigilance,,917,926,Stress-Related - Self-groom,,926,958,Stress-Related - Vigilance,,958,1017,Stress-Related - Self-groom,,1017,1043,Stress-Related - Vigilance,,1238,1316,Stress-Related - Vigilance,,1407,1416,Stress-Related - Self-groom,,1428,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Other,Other,Other,Rest,Other,Rest,Rest,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,,07/22/2026 11:29:35,,methall@wisc.edu
07/21/2026 02:34 PM,Delta Dawn,Sunny,93,0,330,Stress-Related - Vigilance,,648,654,Stress-Related - Vigilance,,740,827,Affiliative - Receive grooming,Marla,942,1101,Affiliative - Mutual grooming,Marla,1114,1132,Affiliative - Mutual grooming,Marla,1132,1248,Affiliative - Receive grooming,Marla,1248,1252,Submission - Be displaced,May Lillie,1257,1324,Affiliative - Contact sit,May Lillie,1336,1359,Affiliative - Contact sit,May Lillie,1430,1435,Stress-Related - Self-scratch,,1437,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Rest,Rest,Social,Social,Social,Other,Over 5 m,Over 5 m,Less than 2 m,2-5 m,Body contact,Body contact,Body contact,Less than 2 m,2-5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,,,,,,,,,,07/21/2026 15:08:40,,methall@wisc.edu
07/21/2026 02:18 PM,Marla,Sunny,93,52,59,Stress-Related - Self-groom,,,,,,103,156,Stress-Related - Vigilance,,156,158,Stress-Related - Yawn,,245,941,Stress-Related - Vigilance,,742,745,Stress-Related - Self-groom,,1001,1004,Submission - Be displaced,Delta Dawn,1015,1134,Stress-Related - Vigilance,,1153,1156,Stress-Related - Vigilance,,1231,1237,Stress-Related - Vigilance,,1249,1332,Stress-Related - Vigilance,,1334,1339,Stress-Related - Self-scratch,,1342,1404,Stress-Related - Vigilance,,1404,1407,Stress-Related - Self-scratch,,1420,1436,Stress-Related - Vigilance,,1441,1445,Stress-Related - Self-groom,,1445,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Locomotion,Other,Other,Other,Other,Other,Other,,,,,,,,,Less than 2 m,2-5 m,2-5 m,2-5 m,Less than 2 m,2-5 m,2-5 m,Over 5 m,Less than 2 m,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,2-5 m,Over 5 m,,07/21/2026 15:08:39,,methall@wisc.edu
07/21/2026 02:03 PM,May Lillie,Sunny,93,155,220,Affiliative - Receive grooming,Marla,220,305,Affiliative - Mutual grooming,Marla,353,402,Stress-Related - Self-groom,,535,537,Stress-Related - Yawn,,546,617,Affiliative - Receive grooming,Marla,621,635,Affiliative - Mutual grooming,Marla,635,642,Stress-Related - Vigilance,,645,717,Stress-Related - Self-groom,,719,730,Stress-Related - Vigilance,,730,748,Stress-Related - Self-groom,,748,804,Stress-Related - Vigilance,,938,942,Stress-Related - Self-scratch,,942,1106,Stress-Related - Vigilance,,1337,1432,Stress-Related - Self-groom,,1438,1440,Stress-Related - Yawn,,1449,1450,Stress-Related - Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Social,Other,Social,Other,Other,Rest,Other,2-5 m,Body contact,Less than 2 m,Body contact,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/21/2026 15:08:38,,methall@wisc.edu
07/21/2026 09:50 AM,Marla,Sunny,89,0,32,Stress-Related - Vigilance,,32,36,Stress-Related - Self-groom,,57,102,Stress-Related - Self-scratch,,134,143,Stress-Related - Vigilance,,143,155,Stress-Related - Self-groom,,155,228,Stress-Related - Vigilance,,228,232,Stress-Related - Self-groom,,232,452,Stress-Related - Vigilance,,540,639,Stress-Related - Vigilance,,703,725,Stress-Related - Vigilance,,728,940,Affiliative - Contact sit,Delta Dawn,741,801,Affiliative - Mutual grooming,Delta Dawn,752,801,Stress-Related - Vigilance,,802,812,Affiliative - Mutual grooming,Delta Dawn,830,838,Affiliative - Mutual grooming,Delta Dawn,846,859,Affiliative - Receive grooming,Delta Dawn,900,1214,Stress-Related - Vigilance,,928,936,Stress-Related - Antipredator VOCALIZE,,1451,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Other,Social,Other,Other,Rest,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,,07/21/2026 14:58:29,,methall@wisc.edu
07/20/2026 11:02 AM,Marla,Sunny,90,0,27,Stress-Related - Vigilance,,27,31,Stress-Related - Self-groom,,31,153,Stress-Related - Vigilance,,216,244,Stress-Related - Vigilance,,251,430,Stress-Related - Vigilance,,443,507,Stress-Related - Vigilance,,523,557,Stress-Related - Vigilance,,557,601,Stress-Related - Self-groom,,601,626,Stress-Related - Vigilance,,626,632,Stress-Related - Self-groom,,632,700,Stress-Related - Vigilance,,731,947,Stress-Related - Vigilance,,817,819,Stress-Related - Head throw-back,,902,904,Stress-Related - Yawn,,1008,1012,Stress-Related - Vigilance,,1040,1046,Stress-Related - Vigilance,,1100,1120,Stress-Related - Vigilance,,1132,1142,Stress-Related - Vigilance,,1156,1500,Affiliative - Contact sit,May Lillie,1158,1213,Affiliative - Mutual grooming,May Lillie,1218,1313,Affiliative - Mutual grooming,May Lillie,1313,1331,Affiliative - Receive grooming,May Lillie,1348,1403,Stress-Related - Self-groom,,1417,1430,Affiliative - Give grooming,May Lillie,1432,1449,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Rest,Other,Other,Other,Other,Social,Other,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,2-5 m,Over 5 m,Over 5 m,Body contact,Body contact,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,,07/20/2026 11:37:55,,methall@wisc.edu
07/20/2026 10:50 AM,May Lillie,Sunny,90,312,333,Stress-Related - Self-groom,,333,402,Stress-Related - Vigilance,,419,553,Stress-Related - Vigilance,,555,604,Stress-Related - Self-groom,,604,756,Stress-Related - Vigilance,,757,802,Stress-Related - Self-scratch,,802,830,Stress-Related - Vigilance,,849,853,Stress-Related - Vigilance,,948,959,Stress-Related - Vigilance,,1028,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Other,Other,Other,Feed,Feed,Feed,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,07/20/2026 11:37:52,,methall@wisc.edu
07/20/2026 10:36 AM,Delta Dawn,Sunny,90,1147,1158,Stress-Related - Self-groom,,1158,1202,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Other,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,,07/20/2026 11:37:48,,methall@wisc.edu
07/20/2026 10:23 AM,Marla,Sunny,90,0,39,Affiliative - Mutual grooming,Delta Dawn,0,201,Affiliative - Contact sit,Delta Dawn,52,132,Affiliative - Mutual grooming,Delta Dawn,309,410,Affiliative - Mutual grooming,May Lillie,305,613,Affiliative - Contact sit,May Lillie,410,427,Affiliative - Give grooming,May Lillie,430,443,Affiliative - Mutual grooming,May Lillie,443,509,Affiliative - Give grooming,May Lillie,510,548,Affiliative - Mutual grooming,May Lillie,742,752,Stress-Related - Self-groom,,752,756,Stress-Related - Self-scratch,,830,839,Stress-Related - Self-groom,,1216,1304,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Rest,Social,Rest,Rest,Rest,Rest,Other,,,,,,,,,2-5 m,2-5 m,Body contact,Body contact,2-5 m,2-5 m,Over 5 m,Over 5 m,Body contact,Body contact,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,,,07/20/2026 11:37:45,,methall@wisc.edu
07/20/2026 10:07 AM,May Lillie,Sunny,90,9,46,Stress-Related - Self-groom,,113,134,Stress-Related - Self-groom,,756,802,Stress-Related - Vigilance,,756,842,Affiliative - Contact sit,Marla,1116,1152,Stress-Related - Vigilance,,1156,1200,Stress-Related - Self-groom,,1252,1301,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Other,Rest,Other,Rest,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Body contact,Less than 2 m,Less than 2 m,2-5 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,07/20/2026 11:37:16,,methall@wisc.edu
07/20/2026 09:52 AM,Delta Dawn,Sunny,90,315,341,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,,07/20/2026 11:37:04,,methall@wisc.edu
07/14/2026 01:44 PM,May Lillie,Sunny,87,0,105,Affiliative - Contact sit,Delta Dawn,0,52,Affiliative - Give grooming,Delta Dawn,106,112,Stress-Related - Vigilance,,112,115,Stress-Related - Self-groom,,745,812,Stress-Related - Self-groom,,817,840,Affiliative - Contact sit,Delta Dawn,819,825,Stress-Related - Self-scratch,,856,900,Stress-Related - Vigilance,,1116,1217,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social,Rest,Rest,Rest,Rest,Rest,Other,Rest,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,2-5 m,,,,,,,,,Body contact,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,2-5 m,2-5 m,,07/14/2026 15:48:39,,methall@wisc.edu
