Date-Time,Focal,Weather,Temperature (F),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),START,END,CONTINUOUS Behaviors,Social Partner(s),1,2,3,4,5,6,7,8,AUT 1,AUT 2,AUT 3,AUT 4,AUT 5,AUT 6,AUT 7,AUT 8,POL 1,POL 2,POL 3,POL 4,POL 5,POL 6,POL 7,POL 8,CHA 1,CHA 2,CHA 3,CHA 4,CHA 5,CHA 6,CHA 7,CHA 8,TCH 1,TCH 2,TCH 3,TCH 4,TCH 5,TCH 6,TCH 7,TCH 8,Notes,Added Time,Referrer Name,Task Owner
05/15/2026 10:39 AM,Polli,Sunny,80,5,29,Stress-Related - Vigilance,,29,48,Stress-Related - Self-groom,,48,112,Stress-Related - Vigilance,,123,134,Stress-Related - Self-groom,,140,145,Stress-Related - Self-scratch,,243,429,Stress-Related - Vigilance,,510,604,Stress-Related - Vigilance,,604,612,Stress-Related - Self-scratch,,628,634,Stress-Related - Self-groom,,720,750,Stress-Related - Vigilance,,750,858,Affiliative - Mutual grooming,Tracy Chapman,858,956,Affiliative - Receive grooming,Tracy Chapman,1015,1045,Affiliative - Mutual grooming,Tracy Chapman,1045,1117,Affiliative - Receive grooming,Tracy Chapman,1130,1200,Stress-Related - Self-groom,,1200,1206,Stress-Related - Self-scratch,,1220,1240,Affiliative - Contact sit,Autumn,1230,1243,Affiliative - Mutual grooming,Autumn,1243,1250,Submission - Be displaced,Tracy Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Other,Other,Other,Rest,Social,Social,Other,2-5 m,2-5 m,2-5 m,2-5 m,Less than 2 m,2-5 m,Less than 2 m,Less than 2 m,,,,,,,,,2-5 m,2-5 m,2-5 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,2-5 m,Less than 2 m,2-5 m,,05/16/2026 10:04:24,,methall@wisc.edu
05/18/2026 02:39 PM,Autumn,Sunny,85,0,120,Stress-Related - Vigilance,,120,130,Stress-Related - Self-groom,,130,144,Stress-Related - Vigilance,,144,242,Stress-Related - Self-groom,,242,304,Stress-Related - Vigilance,,304,320,Stress-Related - Self-groom,,330,438,Stress-Related - Self-groom,,349,354,Stress-Related - Vigilance,,438,508,Stress-Related - Vigilance,,647,706,Stress-Related - Self-groom,,706,752,Stress-Related - Vigilance,,817,851,Stress-Related - Vigilance,,943,1037,Stress-Related - Vigilance,,1107,1237,Stress-Related - Vigilance,,1306,1405,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Rest,Rest,Other,Other,Locomotion,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,05/18/2026 15:06:49,,methall@wisc.edu
05/21/2026 09:57 AM,Tracy Champan,Sunny,85,27,439,Affiliative - Contact sit,Chagall,27,325,Affiliative - Mutual grooming,Chagall,325,351,Affiliative - Give grooming,Chagall,401,412,Stress-Related - Self-groom,,412,423,Stress-Related - Vigilance,,507,516,Stress-Related - Self-groom,,516,521,Stress-Related - Vigilance,,601,612,Stress-Related - Self-groom,,617,621,Stress-Related - Self-scratch,,621,639,Stress-Related - Self-groom,,639,657,Stress-Related - Vigilance,,657,712,Stress-Related - Self-scratch,,730,747,Stress-Related - Self-groom,,848,1007,Affiliative - Contact sit,Chagall,850,919,Affiliative - Mutual grooming,Chagall,920,936,Affiliative - Receive grooming,Chagall,940,959,Affiliative - Mutual grooming,Chagall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Social,Other,Other,Other,Rest,Rest,Rest,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Body contact,Body contact,Over 5 m,2-5 m,Body contact,Less than 2 m,Less than 2 m,,,,,,,,,,05/21/2026 11:59:34,,methall@wisc.edu
05/21/2026 10:13 AM,Chagall,Sunny,85,0,912,Affiliative - Contact sit,Tracy Chapman,0,144,Stress-Related - Vigilance,,144,201,Stress-Related - Self-groom,,201,234,Stress-Related - Vigilance,,912,1126,Stress-Related - Vigilance,,1126,1432,Affiliative - Contact sit,Tracy Chapman,1218,1231,Stress-Related - Vigilance,,1330,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Rest,Rest,Rest,Other,Rest,Other,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,Body contact,Body contact,Body contact,Body contact,Body contact,Less than 2 m,Body contact,Body contact,,05/21/2026 11:59:36,,methall@wisc.edu
05/21/2026 10:30 AM,Polli,Sunny,85,0,20,Stress-Related - Vigilance,,50,53,Stress-Related - Vigilance,,137,145,Stress-Related - Vigilance,,453,612,Stress-Related - Vigilance,,640,757,Stress-Related - Vigilance,,1011,1019,Stress-Related - Self-scratch,,1019,1030,Stress-Related - Self-groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Rest,Rest,Other,Rest,Other,Rest,Rest,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,05/21/2026 11:59:44,,methall@wisc.edu
05/21/2026 10:45 AM,Autumn,Sunny,85,40,122,Affiliative - Mutual grooming,Polli,40,634,Affiliative - Contact sit,Polli,158,228,Affiliative - Mutual grooming,Polli,249,346,Affiliative - Receive grooming,Polli,443,456,Affiliative - Receive grooming,Polli,525,539,Affiliative - Receive grooming,Polli,539,559,Stress-Related - Vigilance,,559,603,Affiliative - Give grooming,Polli,1030,1043,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Locomotion,Social,Rest,Social,Rest,Rest,Rest,Rest,,,,,,,,,2-5 m,Body contact,Body contact,Body contact,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,2-5 m,2-5 m,2-5 m,,05/21/2026 11:59:54,,methall@wisc.edu
05/21/2026 01:53 PM,Chagall,Sunny,86,47,103,Stress-Related - Vigilance,,103,108,Stress-Related - Self-scratch,,108,117,Stress-Related - Self-groom,,126,130,Stress-Related - Self-groom,,130,232,Stress-Related - Vigilance,,401,426,Stress-Related - Vigilance,,426,441,Affiliative - Contact sit,Polli,521,526,Stress-Related - Self-groom,,526,552,Stress-Related - Vigilance,,635,711,Stress-Related - Vigilance,,711,713,Stress-Related - Self-groom,,818,822,Stress-Related - Self-groom,,822,830,Stress-Related - Vigilance,,901,928,Stress-Related - Vigilance,,1027,1030,Stress-Related - Self-groom,,1051,1201,Stress-Related - Vigilance,,1301,1415,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,Other,Other,Rest,Rest,Rest,Locomotion,Locomotion,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,Less than 2 m,Less than 2 m,Over 5 m,Less than 2 m,2-5 m,2-5 m,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,2-5 m,Less than 2 m,2-5 m,,05/21/2026 15:15:18,,methall@wisc.edu
05/21/2026 02:15 PM,Autumn,Sunny,86,0,229,Stress-Related - Vigilance,,229,240,Stress-Related - Self-groom,,253,329,Stress-Related - Self-groom,,345,349,Stress-Related - Self-groom,,349,436,Stress-Related - Vigilance,,444,451,Stress-Related - Self-groom,,451,559,Stress-Related - Vigilance,,559,704,Stress-Related - Self-groom,,722,852,Stress-Related - Vigilance,,906,1141,Stress-Related - Vigilance,,1212,1215,Stress-Related - Self-scratch,,1309,1315,Stress-Related - Self-groom,,1317,1356,Stress-Related - Vigilance,,1356,1405,Stress-Related - Self-groom,,1405,1455,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Other,Other,Other,Rest,Other,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,05/21/2026 15:15:20,,methall@wisc.edu
05/21/2026 02:32 PM,Tracy Champan,Sunny,86,0,6,Stress-Related - Self-groom,,36,106,Stress-Related - Vigilance,,106,114,Stress-Related - Self-groom,,155,203,Stress-Related - Self-scratch,,203,225,Stress-Related - Self-groom,,225,252,Stress-Related - Vigilance,,252,305,Stress-Related - Self-groom,,305,349,Stress-Related - Vigilance,,349,351,Affiliative - Greet,Chagall,351,428,Stress-Related - Self-groom,,455,508,Stress-Related - Self-groom,,508,528,Stress-Related - Vigilance,,540,604,Stress-Related - Vigilance,,604,644,Stress-Related - Self-groom,,644,822,Stress-Related - Vigilance,,833,843,Stress-Related - Self-groom,,931,1000,Stress-Related - Self-groom,,1000,1012,Stress-Related - Vigilance,,1031,1038,Stress-Related - Self-groom,,1059,1109,Stress-Related - Self-groom,,1109,1125,Stress-Related - Vigilance,,1208,1231,Stress-Related - Vigilance,,1424,1500,Affiliative - Contact sit,Chagall,1424,1500,Affiliative - Mutual grooming,Chagall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other,Other,Other,Other,Rest,Rest,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Less than 2 m,2-5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,2-5 m,Less than 2 m,Less than 2 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,,,,,,,,,05/21/2026 15:15:21,,methall@wisc.edu
05/21/2026 02:48 PM,Polli,Sunny,86,37,133,Stress-Related - Vigilance,,143,148,Stress-Related - Self-groom,,148,225,Stress-Related - Vigilance,,240,432,Stress-Related - Vigilance,,517,552,Stress-Related - Vigilance,,552,601,Stress-Related - Self-groom,,601,633,Stress-Related - Vigilance,,725,729,Stress-Related - Self-groom,,729,749,Stress-Related - Vigilance,,749,754,Stress-Related - Self-scratch,,802,817,Stress-Related - Self-groom,,827,847,Stress-Related - Self-groom,,847,911,Stress-Related - Vigilance,,924,935,Affiliative - Contact sit,Autumn,930,1000,Affiliative - Give grooming,Autumn,1001,1008,Stress-Related - Self-scratch,,1122,1204,Affiliative - Give grooming,Autumn,1351,1407,Stress-Related - Vigilance,,1440,1500,Stress-Related - Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Locomotion,Other,Other,Other,Other,Other,Social,Other,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Less than 2 m,Body contact,Less than 2 m,,,,,,,,,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,Over 5 m,,05/21/2026 15:15:23,,methall@wisc.edu
